,Ca,Ti,Al,Cr,S,Si,P,Fe,Ni,Mg,cluster
0,8.595462461872401,0.0,0.0,0.0,0.0,7.832475749290276,0.0,51.212924847020105,0.0,5.692733712377111,-1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.453490309077225,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.69607527848125,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.93462123319149,0.0,0.0,0
4,0.0,0.0,0.0,0.0,7.0383732520797135,0.0,0.0,58.254702013485364,0.0,0.0,1
5,0.0,0.0,0.0,0.0,15.484421154575369,0.0,0.0,59.85510591495475,0.0,0.0,1
6,0.0,0.0,0.0,0.0,9.8537225529116,5.482733024503193,0.0,44.171147680554846,5.589529809399357,0.0,-1
7,0.0,0.0,0.0,0.0,6.099923485135753,7.636663855558019,0.0,42.57074377908546,0.0,0.0,2
8,7.735916215685162,0.0,0.0,0.0,6.569148368607732,14.979609870517649,0.0,28.167108665861054,0.0,5.455536474361397,-1
9,0.0,0.0,0.0,0.0,0.0,22.0288380448789,0.0,13.443392772342778,0.0,12.097059138801358,-1
10,0.0,0.0,0.0,0.0,0.0,21.343496416816002,0.0,13.443392772342778,0.0,10.792474329714935,-1
11,0.0,0.0,0.0,0.0,0.0,20.462342895020846,0.0,12.163069651167277,0.0,11.148270186738507,-1
12,6.446596846404301,0.0,0.0,0.0,0.0,0.0,0.0,72.33825634641592,0.0,0.0,-1
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.61857946759142,0.0,0.0,0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.66035663405667,0.0,0.0,0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.41979117199953,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.98043741435055,0.0,0.0,0
17,0.0,0.0,0.0,0.0,5.161473718191791,0.0,0.0,73.93866024788528,0.0,0.0,1
18,0.0,0.0,0.0,0.0,7.0383732520797135,0.0,0.0,71.69809478582815,0.0,0.0,1
19,0.0,0.0,0.0,0.0,0.0,5.3848270776370635,0.0,61.13542903613025,0.0,0.0,3
20,0.0,0.0,0.0,0.0,9.8537225529116,7.342946014959633,0.0,55.373974990840495,5.589529809399357,0.0,-1
21,6.446596846404301,0.0,0.0,0.0,0.0,9.888500633478973,0.0,44.811309241142595,0.0,0.0,-1
22,5.8019371617638695,0.0,0.0,0.0,0.0,11.846619570801542,0.0,43.21090533967321,0.0,0.0,-1
23,0.0,0.0,0.0,0.0,0.0,9.594782792880586,0.0,44.171147680554846,0.0,5.218339236345684,-1
24,6.446596846404301,0.0,0.0,0.0,0.0,11.846619570801542,0.0,50.57276328643236,0.0,8.064706092534237,-1
25,0.0,0.0,0.0,0.0,0.0,9.301064952282204,0.0,55.694055771134366,0.0,9.250692282612803,-1
26,0.0,0.0,0.0,0.0,0.0,6.461792493164477,0.0,64.01615605877512,0.0,8.420501949557808,-1
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.82140677787704,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.10172989905256,0.0,0.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0222145808158,0.0,0.0,0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.26278004287292,0.0,0.0,0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.18326472463622,0.0,0.0,0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9009220961138,0.0,0.0,0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.22302238375455,0.0,0.0,0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57882180847301,0.0,0.0,0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.13946805082405,0.0,0.0,0
36,0.0,0.0,0.0,0.0,7.0383732520797135,0.0,0.0,73.61857946759142,0.0,0.0,1
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.093651869664996,0.0,0.0,0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.97639839965676,0.0,0.0,0
39,0.0,0.0,0.0,0.0,0.0,5.189015183904806,0.0,63.055913717893496,0.0,0.0,3
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.21898336906078,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.82140677787704,0.0,0.0,0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.50132599758317,0.0,0.0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.98043741435055,0.0,0.0,0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.73583293759962,0.0,0.0,0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.01817556612204,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.82342628522396,0.0,0.0,0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7418914596403,0.0,0.0,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0222145808158,0.0,0.0,0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.86116443699542,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66439564875044,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.34431486845658,0.0,0.0,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7418914596403,0.0,0.0,0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5828608231668,0.0,0.0,0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.34229536110969,0.0,0.0,0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1812452172893,0.0,0.0,0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7816491187587,0.0,0.0,0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.50132599758317,0.0,0.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1812452172893,0.0,0.0,0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.86318394434231,0.0,0.0,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.46358784581169,0.0,0.0,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.54310316404845,0.0,0.0,0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2169638617139,0.0,0.0,0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.01615605877512,0.0,0.0,0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57276328643236,0.0,0.0,0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.44945129438345,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.98043741435055,0.0,0.0,0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.14350706551778,0.0,0.0,0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.78366862610555,0.0,0.0,0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.26278004287292,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.22302238375455,0.0,0.0,0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.94269926257904,0.0,0.0,0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.50334550493008,0.0,0.0,0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.62261848228519,0.0,0.0,0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.18326472463622,0.0,0.0,0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.90496111080758,0.0,0.0,0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.74391096698722,0.0,0.0,0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5828608231668,0.0,0.0,0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.54108365670155,0.0,0.0,0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.90496111080758,0.0,0.0,0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.34431486845658,0.0,0.0,0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.14350706551778,0.0,0.0,0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.98043741435055,0.0,0.0,0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.81736776318327,0.0,0.0,0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.014136551428244,0.0,0.0,0
86,0.0,0.0,0.0,0.0,5.161473718191791,0.0,0.0,44.491228460848724,0.0,0.0,1
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.76953207467733,0.0,0.0,0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.451470801730345,0.0,0.0,0
89,0.0,0.0,0.0,0.0,0.0,6.8534162806289896,0.0,46.41171314261197,0.0,6.522924045432105,-1
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.98043741435055,0.0,0.0,0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.42181067934642,0.0,0.0,0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.34229536110969,0.0,0.0,0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5828608231668,0.0,0.0,0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.94269926257904,0.0,0.0,0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.14148755817092,0.0,0.0,0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.22302238375455,0.0,0.0,0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.78366862610555,0.0,0.0,0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.86116443699542,0.0,0.0,0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.54310316404845,0.0,0.0,0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.62463798963208,0.0,0.0,0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.90294160346069,0.0,0.0,0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.26479955021982,0.0,0.0,0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.22302238375455,0.0,0.0,0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.78366862610555,0.0,0.0,0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.50334550493008,0.0,0.0,0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6205989749383,0.0,0.0,0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.85712542230165,0.0,0.0,0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.97235938496298,0.0,0.0,0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.28840115056307,0.0,0.0,0
112,0.0,0.0,0.0,0.0,5.630698601663772,0.0,0.0,44.491228460848724,0.0,0.0,1
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.4952674755425,0.0,0.0,0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.69809478582815,0.0,0.0,0
115,0.0,0.0,0.0,0.0,0.0,8.028287643022532,0.0,49.93260172584461,0.0,10.080882615667797,-1
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.17720620259551,0.0,0.0,0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.01817556612204,0.0,0.0,0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7418914596403,0.0,0.0,0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.82140677787704,0.0,0.0,0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7398719522934,0.0,0.0,0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.90294160346069,0.0,0.0,0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.70415330786881,0.0,0.0,0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.50334550493008,0.0,0.0,0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.74391096698722,0.0,0.0,0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.18326472463622,0.0,0.0,0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.74391096698722,0.0,0.0,0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.94471876992596,0.0,0.0,0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.38205302022806,0.0,0.0,0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.50334550493008,0.0,0.0,0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.34431486845658,0.0,0.0,0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.86318394434231,0.0,0.0,0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.57882180847301,0.0,0.0,0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7418914596403,0.0,0.0,0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.54108365670155,0.0,0.0,0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.41777166465265,0.0,0.0,0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.373974990840495,0.0,0.0,0
138,0.0,0.0,0.0,0.0,7.0383732520797135,0.0,0.0,47.05187470319972,0.0,0.0,1
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.373974990840495,0.0,0.0,0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.37801400553427,0.0,0.0,0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.41979117199953,0.0,0.0,0
142,0.0,0.0,0.0,0.0,0.0,5.091109237038679,0.0,75.85914492964854,0.0,10.318079853683512,-1
143,0.0,0.0,0.0,0.0,0.0,9.594782792880586,0.0,64.01615605877512,0.0,21.229152802406304,-1
144,0.0,0.0,0.0,0.0,0.0,19.385377479493428,0.0,16.32411979498766,0.0,27.870675466846265,-1
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.01615605877512,0.0,0.0,0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.29849868729751,0.0,0.0,0
147,0.0,0.0,0.0,0.0,6.099923485135753,0.0,0.0,82.58084131581992,0.0,0.0,1
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.78366862610555,0.0,0.0,0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.06197223993419,0.0,0.0,0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.62463798963208,0.0,0.0,0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.34229536110969,0.0,0.0,0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.86318394434231,0.0,0.0,0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.82342628522396,0.0,0.0,0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.46358784581169,0.0,0.0,0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.26278004287292,0.0,0.0,0
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.42383018669331,0.0,0.0,0
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.94471876992596,0.0,0.0,0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66439564875044,0.0,0.0,0
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.66237614140356,0.0,0.0,0
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7816491187587,0.0,0.0,0
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.66237614140356,0.0,0.0,0
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7418914596403,0.0,0.0,0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.10172989905256,0.0,0.0,0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.85914492964854,0.0,0.0,0
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.334217331722115,0.0,0.0,0
166,0.0,0.0,0.0,0.0,5.161473718191791,0.0,0.0,51.212924847020105,0.0,0.0,1
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.57276328643236,0.0,0.0,0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.775590596718,0.0,0.0,0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.29849868729751,0.0,0.0,0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.336236839069,0.0,0.0,0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.53906414935466,0.0,0.0,0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.7398719522934,0.0,8.539100568565665,-1
173,0.0,0.0,0.0,0.0,0.0,8.322005483620918,0.0,53.13340952878336,0.0,20.517561088359166,-1
174,0.0,0.0,0.0,0.0,0.0,21.147684523083747,0.0,16.644200575281534,0.0,29.29385889494055,-1
175,0.0,0.0,0.0,0.0,0.0,5.67854491823545,0.0,46.41171314261197,0.0,0.0,3
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.13744854347715,0.0,0.0,0
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.81534825583638,0.0,0.0,0
178,0.0,0.0,0.0,0.0,6.569148368607732,0.0,0.0,67.53704464200776,0.0,0.0,1
