Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si,mineral
0,0,0,0,171,0,4,0,459,0,CaTiO3std15
0,0,0,0,148,3,2,0,462,1,CaTiO3std15
0,2,0,0,141,6,3,0,455,2,CaTiO3std15
1,2,2,0,122,6,3,0,502,0,CaTiO3std15
0,0,0,0,138,5,5,0,457,1,CaTiO3std15
0,0,2,0,145,6,5,0,506,0,CaTiO3std15
0,0,0,0,134,5,7,0,469,0,CaTiO3std15
0,0,0,0,139,5,4,0,464,1,CaTiO3std15
0,0,0,3,145,3,2,0,488,0,CaTiO3std15
0,4,0,0,157,6,5,0,426,0,CaTiO3std15
0,0,0,0,144,8,2,0,475,0,CaTiO3std15
1,0,0,0,131,5,7,0,472,1,CaTiO3std15
0,0,0,0,135,2,7,0,437,0,CaTiO3std15
1,2,0,0,129,5,5,0,462,0,CaTiO3std15
0,0,2,0,132,2,4,0,483,0,CaTiO3std15
0,0,0,0,119,4,3,0,463,0,CaTiO3std15
1,0,0,2,129,3,3,0,434,0,CaTiO3std15
0,2,2,0,141,5,3,0,465,2,CaTiO3std15
0,0,0,2,163,5,3,0,465,0,CaTiO3std15
0,0,2,0,133,9,2,0,427,1,CaTiO3std15
0,0,2,2,149,4,6,0,468,0,CaTiO3std15
0,0,0,2,147,6,3,0,421,2,CaTiO3std15
1,0,0,0,137,3,0,0,487,0,CaTiO3std15
0,3,0,0,129,2,2,0,449,1,CaTiO3std15
0,0,2,0,139,5,0,0,430,2,CaTiO3std15
1,0,0,0,132,0,0,0,485,0,CaTiO3std15
0,0,0,0,127,4,3,0,475,0,CaTiO3std15
0,0,3,0,140,2,4,0,430,0,CaTiO3std15
0,0,0,0,105,4,0,0,483,2,CaTiO3std15
1,2,0,0,127,7,4,0,472,0,CaTiO3std15
0,0,0,0,148,3,2,0,469,1,CaTiO3std15
0,3,0,0,131,4,0,0,456,0,CaTiO3std15
0,0,0,0,127,3,2,0,459,0,CaTiO3std15
2,0,0,0,136,2,3,0,432,1,CaTiO3std15
0,0,2,2,132,2,0,0,459,2,CaTiO3std15
2,0,0,0,139,2,5,0,454,0,CaTiO3std15
0,0,0,2,134,4,4,0,447,3,CaTiO3std15
0,0,0,0,136,5,3,0,421,1,CaTiO3std15
0,2,3,0,130,3,2,0,468,1,CaTiO3std15
0,0,0,0,136,6,3,0,471,1,CaTiO3std15
0,3,0,0,124,4,2,0,471,2,CaTiO3std15
1,0,2,0,125,5,3,0,500,0,CaTiO3std15
0,0,0,0,156,0,4,0,442,2,CaTiO3std15
0,0,2,0,113,5,0,0,465,4,CaTiO3std15
0,0,0,2,127,4,2,0,443,0,CaTiO3std15
