Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si
0,0,,0,36.74560202,,,0,35.63073808,0
0,0,,0,31.80321111,,,0,35.86361873,0.097905947
0,0.657591742,,0,30.29900518,,,0,35.32023056,0.195811894
0.118598619,0.657591742,,0,26.21616051,,,0,38.96869394,0
0,0,,0,29.65434549,,,0,35.47548432,0.097905947
0,0,,0,31.15855142,,,0,39.27920146,0
0,0,,0,28.79479925,,,0,36.40700689,0
0,0,,0,29.86923206,,,0,36.01887249,0.097905947
0,0,,0.960242341,31.15855142,,,0,37.88191761,0
0,1.315183485,,0,33.73719016,,,0,33.06905103,0
0,0,,0,30.94366486,,,0,36.87276817,0
0.118598619,0,,0,28.15013956,,,0,36.63988753,0.097905947
0,0,,0,29.00968581,,,0,33.92294672,0
0.118598619,0.657591742,,0,27.72036644,,,0,35.86361873,0
0,0,,0,28.36502612,,,0,37.49378321,0
0,0,,0,25.57150082,,,0,35.94124561,0
0.118598619,0,,0.640161561,27.72036644,,,0,33.69006608,0
0,0.657591742,,0,30.29900518,,,0,36.09649937,0.195811894
0,0,,0.640161561,35.02650953,,,0,36.09649937,0
0,0,,0,28.57991269,,,0,33.14667791,0.097905947
0,0,,0.640161561,32.01809767,,,0,36.32938001,0
0,0,,0.640161561,31.58832455,,,0,32.68091663,0.195811894
0.118598619,0,,0,29.43945893,,,0,37.80429073,0
0,0.986387613,,0,27.72036644,,,0,34.85446928,0.097905947
0,0,,0,29.86923206,,,0,33.37955855,0.195811894
0.118598619,0,,0,28.36502612,,,0,37.64903697,0
0,0,,0,27.29059332,,,0,36.87276817,0
0,0,,0,30.08411862,,,0,33.37955855,0
0,0,,0,22.56308896,,,0,37.49378321,0.195811894
0.118598619,0.657591742,,0,27.29059332,,,0,36.63988753,0
0,0,,0,31.80321111,,,0,36.40700689,0.097905947
0,0.986387613,,0,28.15013956,,,0,35.39785744,0
0,0,,0,27.29059332,,,0,35.63073808,0
0.237197238,0,,0,29.22457237,,,0,33.53481231,0.097905947
0,0,,0.640161561,28.36502612,,,0,35.63073808,0.195811894
0.237197238,0,,0,29.86923206,,,0,35.24260368,0
0,0,,0.640161561,28.79479925,,,0,34.69921552,0.293717841
0,0,,0,29.22457237,,,0,32.68091663,0.097905947
0,0.657591742,,0,27.935253,,,0,36.32938001,0.097905947
0,0,,0,29.22457237,,,0,36.56226065,0.097905947
0,0.986387613,,0,26.64593363,,,0,36.56226065,0.195811894
0.118598619,0,,0,26.86082019,,,0,38.81344018,0
0,0,,0,33.5223036,,,0,34.31108112,0.195811894
0,0,,0,24.28218145,,,0,36.09649937,0.391623787
0,0,,0.640161561,27.29059332,,,0,34.388708,0
