Ca,Fe,Mg,Ni,S,Si,Ti,mineral
0,0,0,268,69,0,4,Millerite
0,0,0,109,74,0,4,Millerite
0,1,0,159,78,0,2,Millerite
0,0,0,323,76,0,3,Millerite
0,1,0,240,72,0,4,Millerite
0,0,0,236,71,2,4,Millerite
0,0,0,159,59,0,4,Millerite
0,0,0,134,76,2,4,Millerite
0,0,0,204,78,2,5,Millerite
0,0,1,199,79,1,2,Millerite
0,0,0,267,86,0,0,Millerite
1,0,0,142,76,0,8,Millerite
0,0,0,255,78,2,7,Millerite
1,0,0,123,59,0,4,Millerite
0,0,0,164,61,2,2,Millerite
0,0,0,253,87,2,1,Millerite
1,0,0,189,64,1,1,Millerite
0,0,0,287,79,0,2,Millerite
0,0,0,195,81,1,6,Millerite
0,0,0,297,61,1,5,Millerite
1,0,0,216,67,1,1,Millerite
0,0,0,170,56,2,4,Millerite
0,0,0,133,66,0,4,Millerite
0,0,0,229,78,2,2,Millerite
0,0,0,176,68,0,0,Millerite
0,0,0,182,78,2,5,Millerite
0,0,0,75,74,0,2,Millerite
2,0,0,237,67,3,7,Millerite
0,0,0,167,76,0,5,Millerite
0,0,0,294,74,1,2,Millerite
0,0,0,212,87,0,2,Millerite
0,0,0,164,58,0,2,Millerite
0,0,0,278,79,1,6,Millerite
0,0,0,212,76,0,2,Millerite
0,0,0,166,71,0,0,Millerite
0,0,0,156,69,2,2,Millerite
0,0,0,181,57,0,5,Millerite
0,0,0,210,75,0,4,Millerite
2,0,1,205,80,1,4,Millerite
0,0,0,185,79,2,1,Millerite
1,0,0,197,76,0,6,Millerite
1,0,1,198,71,0,0,Millerite
0,0,0,175,65,1,5,Millerite
0,0,0,97,72,0,2,Millerite
0,0,0,319,72,0,6,Millerite
0,0,0,101,65,0,4,Millerite
0,0,0,200,73,1,6,Millerite
0,0,0,238,52,0,1,Millerite
0,0,0,263,77,0,3,Millerite
1,0,0,134,73,0,0,Millerite
1,0,0,226,72,1,5,Millerite
0,0,0,217,78,2,0,Millerite
1,2,0,142,75,3,4,Millerite
2,0,0,127,65,2,0,Millerite
0,0,0,225,61,0,4,Millerite
0,0,0,179,70,3,1,Millerite
0,0,0,179,74,0,3,Millerite
0,1,0,291,67,0,3,Millerite
0,0,0,121,64,1,0,Millerite
0,0,0,272,84,0,3,Millerite
0,0,1,164,74,0,3,Millerite
0,0,0,205,75,0,6,Millerite
0,0,0,133,80,0,5,Millerite
0,0,0,215,79,0,4,Millerite
0,0,0,133,83,0,4,Millerite
1,0,0,193,65,0,7,Millerite
0,0,0,296,79,0,1,Millerite
0,1,0,165,77,0,3,Millerite
1,0,0,266,67,1,4,Millerite
0,0,0,306,75,0,3,Millerite
1,0,0,196,72,0,1,Millerite
0,1,0,216,77,0,0,Millerite
0,0,0,192,80,2,4,Millerite
1,0,0,186,78,0,2,Millerite
0,0,0,82,62,1,5,Millerite
0,0,0,166,71,0,3,Millerite
2,0,0,189,57,1,6,Millerite
0,0,0,100,70,2,5,Millerite
0,0,0,139,82,3,0,Millerite
0,0,0,204,71,0,6,Millerite
1,1,0,174,55,1,2,Millerite
0,0,0,143,71,0,3,Millerite
0,0,0,206,83,1,4,Millerite
0,0,0,242,80,0,1,Millerite
1,0,0,179,85,2,8,Millerite
0,0,0,108,77,1,6,Millerite
0,0,0,207,64,0,6,Millerite
0,0,0,108,77,0,2,Millerite
0,0,0,256,69,3,6,Millerite
0,0,0,213,85,1,6,Millerite
0,0,0,156,77,2,6,Millerite
0,0,0,59,68,1,4,Millerite
1,0,0,133,73,0,4,Millerite
0,0,0,75,68,1,5,Millerite
0,0,0,181,95,0,1,Millerite
0,0,0,197,75,1,2,Millerite
0,0,0,243,83,2,0,Millerite
0,0,0,253,79,1,2,Millerite
0,1,0,108,66,1,2,Millerite
0,1,0,180,78,0,4,Millerite
1,0,0,151,66,2,4,Millerite
0,0,0,320,60,0,0,Millerite
2,1,0,163,87,0,6,Millerite
0,0,0,196,66,3,2,Millerite
0,0,0,188,82,0,2,Millerite
1,0,0,214,69,0,3,Millerite
0,0,0,149,65,3,3,Millerite
1,0,0,161,69,0,3,Millerite
0,0,0,140,67,1,3,Millerite
